Title;URL;Engine;Info;Dimensions;Year Built;Location;Price;Model;Length;Beam;Age
Bavaria Cruiser 50;https://www.boat24.com/en/sailingboats/bavaria/bavaria-cruiser-50/detail/538525/;1 x 75 HP / 55 kW;;15.57 x 4.67 m;2013;Germany » Rostock;179000;Bavaria;15.57;4.67;10
Bénéteau Oceanis 48;https://www.boat24.com/en/sailingboats/beneteau/beneteau-oceanis-48/detail/527739/;1 x 80 HP / 59 kW;;14.63 x 4.75 m;2017;Saint Lucia » Rodney Bay;179000;Bénéteau;14.63;4.75;6
Reinke 13M;https://www.yachtall.com/en/boat/reinke-13m-s161126; Mercedes-Benz, 85 hp (63 kW), diesel; Reinke, used boat, aluminium boat; 14.75 m x 3.98 m;2006;Spain, Contact De Valk Almeria;179000;Reinke;14.75;3.98;17
Jeanneau Sun Odyssey 509;https://www.yachtall.com/en/boat/jeanneau-sun-odyssey-509-s104077; Yanmar 4JH4-TX2, 75 hp (55 kW), diesel; British Hunter, used boat, GRP/polyester; 15.37 m x 4.67 m;2015;British Virgin Islands, Tortola;179000;British Hunter;15.37;4.67;8
Abeking & Rasmussen 17,95 m Aluminium Yawl;https://www.yachtall.com/en/boat/abeking-rasmussen-17,95-m-aluminium-yawl-s212773; Mercedes-Benz O M 6 1 7, 88 hp (65 kW), diesel; Bavaria, used boat; 16.50 m x 4.20 m;1966;Germany, Norddeutschland;179000;Bavaria;16.5;4.2;57
Bavaria Cruiser 50 Auch als Charteryacht;https://www.yachtall.com/en/boat/bavaria-cruiser-50-auch-als-charteryacht-s207646; Volvo Penta, 75 hp (55 kW), diesel; Bavaria, used boat, GRP/polyester; 15.57 m x 4.67 m;2013;Germany, Rostock;179000;Bavaria;15.57;4.67;10
Contest 44;https://www.yachtall.com/en/boat/contest-44-s121870; Volvo Penta TMD-31L 4 cil. Turbo, 100 hp (74 kW), diesel; Contest Yachts / Conyplex, used boat, GRP/polyester; 13.40 m x 4 m;1998;Netherlands, In de Hal, Skipsmaritiem Noord Stavoren.;179000;Contest Yachts / Conyplex;13.4;4;25
Hylas 51 Ocean Race;https://www.yachtall.com/en/boat/hylas-51-ocean-race-s189283; Yanmar 4JH2-HT, 75 hp (55 kW), diesel; Hylas Yachts, used boat, GRP/polyester; 15.45 m x 4.70 m;1992;Germany, Norddeutschland;179000;Hylas Yachts;15.45;4.7;31
X-Yachts X-43;https://www.yachtall.com/en/boat/x-yachts-x-43-s207915; Volvo Penta, 40 hp (29 kW), diesel; Jeanneau, used boat; 12.93 m x 3.97 m;2005;France, Mandelieu;179000;Jeanneau;12.93;3.97;18
Delphia 40.3;https://www.yachtall.com/en/boat/delphia-40.3-s215028; Volvo Penta D2-75, 75 hp (55 kW), diesel; Delphia Yachts, used boat, GRP/polyester; 11.95 m x 3.94 m;2015;Netherlands;179000;Delphia Yachts;11.95;3.94;8
Bénéteau Océanis 46;https://www.yachtall.com/en/boat/beneteau-oceanis-46-s210595; Yanmar, 75 hp (55 kW), diesel; Etap, used boat; 13.68 m x 4.25 m;2009;France, La Grande-Motte;179000;Etap;13.68;4.25;14
X-Yachts X-43;https://www.yachtall.com/en/boat/x-yachts-x-43-s209961; Volvo Penta, 40 hp (29 kW), diesel; Island Packet, used boat, GRP/polyester; 13.11 m x 3.97 m;2005;France, Antibes;179000;Island Packet;13.11;3.97;18
X-Yachts X-43;https://www.yachtall.com/en/boat/x-yachts-x-43-s209870; Volvo Penta MD2040, 40 hp (29 kW), diesel; Bénéteau, used boat, GRP/polyester; 13.11 m x 3.97 m;2005;France, Antibes;179000;Bénéteau;13.11;3.97;18
Dehler 34;https://www.boat24.com/en/sailingboats/dehler/dehler-34/detail/546876/;1 x 30 HP / 22 kW;;10.70 x 3.60 m;2019;Germany » Schleswig-Holstein » Wedel/Hamburg;178000;Dehler;10.7;3.6;4
Jeanneau Sun Odyssey 479;https://www.boat24.com/en/sailingboats/jeanneau/jeanneau-sun-odyssey-479/detail/521564/;1 x 56 HP / 41 kW;;14.43 x 4.49 m;2016;Croatia » Split-Dalmatia » Split;178000;Jeanneau;14.43;4.49;7
Skutsje Buitenst Vallaat;https://www.yachtall.com/en/boat/skutsje-buitenst-vallaat-s177328; Nanni Diesel 5280 HE, 62 hp (46 kW), diesel; Jeanneau, used boat, GRP/polyester; 15.59 m x 3.48 m;1908;Netherlands, Lemmer;178000;Jeanneau;15.59;3.48;115
Bavaria 46 Cruiser;https://www.yachtall.com/en/boat/bavaria-46-cruiser-s200280; Volvo Penta, 75 hp (55 kW), diesel; Dufour, used boat, GRP/polyester; 13.60 m x 4.35 m;2017;Italy, Sardegna;178000;Dufour;13.6;4.35;6
Elan 410;https://www.yachtall.com/en/boat/elan-410-s202829; Volvo Penta, 40 hp (29 kW), diesel; Elan, used boat, GRP/polyester; 12.27 m x 3.91 m;2008;Netherlands, in verkoophaven;178000;Elan;12.27;3.91;15
Hanse 385;https://www.boat24.com/en/sailingboats/hanse/hanse-385/detail/548592/;;;11.40 x 3.90 m;2014;Netherlands » Dronten, Nederland;177500;Hanse;11.4;3.9;9
Platbodem Varend Woonschip 22 Mtr +CVO;https://www.yachtall.com/en/boat/platbodem-varend-woonschip-22-mtr-cvo-s194979; Ford Lehman 2715e, 120 hp (88 kW), diesel; Bavaria, used boat; 21.64 m x 4.25 m;1927;Netherlands, Brielle;177500;Bavaria;21.64;4.25;96
Hanse 385;https://www.yachtall.com/en/boat/hanse-385-s213341; Yanmar, 110 hp (81 kW), diesel; Hanse, used boat, GRP/polyester; 11.40 m x 3.90 m;2014;Netherlands, Dronten;177500;Hanse;11.4;3.9;9
Dufour 412 Grand Large;https://www.boat24.com/en/sailingboats/dufour/dufour-412-grand-large/detail/524971/;1 x 55 HP / 40 kW;;12.35 x 4.20 m;2016;Croatia » Zadar;177000;Dufour;12.35;4.2;7
Dufour 412 Grand Large;https://www.yachtall.com/en/boat/dufour-412-grand-large-s197694; Volvo Penta, 55 hp (40 kW), diesel; Dufour, used boat; 12.35 m x 4.20 m;2016;Croatia, Zadar;177000;Dufour;12.35;4.2;7
Bavaria 46 Cruiser Available in - Visible Tuscany;https://www.yachtall.com/en/boat/bavaria-46-cruiser-available-in-visible-tuscany-s212395; Volvo Penta D2 7, 75 hp (55 kW), diesel; Bavaria, used boat, GRP/polyester; 13.16 m x 4.35 m;2016;Italy, Rome;177000;Bavaria;13.16;4.35;7
Bavaria Cruiser 34 Style;https://www.boat24.com/en/sailingboats/bavaria/bavaria-cruiser-34-style/detail/547652/;1 x 28 HP / 21 kW;;9.99 x 3.42 m;2021;Germany » Mecklenburg-Vorpommern » Yachthafen Hohe Düne;175000;Bavaria;9.99;3.42;2
Bavaria Cruiser 34 Style;https://www.boat24.com/en/sailingboats/bavaria/bavaria-cruiser-34-style/detail/547652/;1 x 28 HP / 21 kW;;9.99 x 3.42 m;2021;Germany » Mecklenburg-Vorpommern » Yachthafen Hohe Düne;175000;Bavaria;9.99;3.42;2
Bavaria Cruiser 34 Style;https://www.boat24.com/en/sailingboats/bavaria/bavaria-cruiser-34-style/detail/547652/;1 x 28 HP / 21 kW;;9.99 x 3.42 m;2021;Germany » Mecklenburg-Vorpommern » Yachthafen Hohe Düne;175000;Bavaria;9.99;3.42;2
Bavaria Cruiser 34 Style;https://www.boat24.com/en/sailingboats/bavaria/bavaria-cruiser-34-style/detail/547652/;1 x 28 HP / 21 kW;;9.99 x 3.42 m;2021;Germany » Mecklenburg-Vorpommern » Yachthafen Hohe Düne;175000;Bavaria;9.99;3.42;2
Bavaria Cruiser 34 Style;https://www.boat24.com/en/sailingboats/bavaria/bavaria-cruiser-34-style/detail/547652/;1 x 28 HP / 21 kW;;9.99 x 3.42 m;2021;Germany » Mecklenburg-Vorpommern » Yachthafen Hohe Düne;175000;Bavaria;9.99;3.42;2
Bavaria Cruiser 34 Style;https://www.boat24.com/en/sailingboats/bavaria/bavaria-cruiser-34-style/detail/547652/;1 x 28 HP / 21 kW;;9.99 x 3.42 m;2021;Germany » Mecklenburg-Vorpommern » Yachthafen Hohe Düne;175000;Bavaria;9.99;3.42;2
Bavaria Cruiser 34 Style;https://www.boat24.com/en/sailingboats/bavaria/bavaria-cruiser-34-style/detail/547652/;1 x 28 HP / 21 kW;;9.99 x 3.42 m;2021;Germany » Mecklenburg-Vorpommern » Yachthafen Hohe Düne;175000;Bavaria;9.99;3.42;2
Bavaria Cruiser 34 Style;https://www.boat24.com/en/sailingboats/bavaria/bavaria-cruiser-34-style/detail/547652/;1 x 28 HP / 21 kW;;9.99 x 3.42 m;2021;Germany » Mecklenburg-Vorpommern » Yachthafen Hohe Düne;175000;Bavaria;9.99;3.42;2
Bavaria Cruiser 34 Style;https://www.boat24.com/en/sailingboats/bavaria/bavaria-cruiser-34-style/detail/547652/;1 x 28 HP / 21 kW;;9.99 x 3.42 m;2021;Germany » Mecklenburg-Vorpommern » Yachthafen Hohe Düne;175000;Bavaria;9.99;3.42;2
SUNBEAM 30.2;https://www.boat24.com/en/sailingboats/sunbeam/sunbeam-302/detail/541524/;1 x 18 HP / 13 kW;;9.50 x 2.96 m;2020;Germany » Berlin;175000;SUNBEAM;9.5;2.96;3
Bavaria Cruiser 34 Style;https://www.boat24.com/en/sailingboats/bavaria/bavaria-cruiser-34-style/detail/547652/;1 x 28 HP / 21 kW;;9.99 x 3.42 m;2021;Germany » Mecklenburg-Vorpommern » Yachthafen Hohe Düne;175000;Bavaria;9.99;3.42;2
Italia Yachts 9.98 Fuoriserie;https://www.boat24.com/en/sailingboats/italia-yachts/italia-yachts-998-fuoriserie/detail/539817/;1 x 20 HP / 15 kW;;10.30 x 3.54 m;2017;Germany » Schleswig-Holstein » Kiel;175000;Italia;10.3;3.54;6
Bavaria Cruiser 34 Style;https://www.boat24.com/en/sailingboats/bavaria/bavaria-cruiser-34-style/detail/547652/;1 x 28 HP / 21 kW;;9.99 x 3.42 m;2021;Germany » Mecklenburg-Vorpommern » Yachthafen Hohe Düne;175000;Bavaria;9.99;3.42;2
Bavaria Cruiser 34 Style;https://www.boat24.com/en/sailingboats/bavaria/bavaria-cruiser-34-style/detail/547652/;1 x 28 HP / 21 kW;;9.99 x 3.42 m;2021;Germany » Mecklenburg-Vorpommern » Yachthafen Hohe Düne;175000;Bavaria;9.99;3.42;2
Bavaria Cruiser 34 Style;https://www.boat24.com/en/sailingboats/bavaria/bavaria-cruiser-34-style/detail/547652/;1 x 28 HP / 21 kW;;9.99 x 3.42 m;2021;Germany » Mecklenburg-Vorpommern » Yachthafen Hohe Düne;175000;Bavaria;9.99;3.42;2
Bavaria Cruiser 34 Style;https://www.boat24.com/en/sailingboats/bavaria/bavaria-cruiser-34-style/detail/547652/;1 x 28 HP / 21 kW;;9.99 x 3.42 m;2021;Germany » Mecklenburg-Vorpommern » Yachthafen Hohe Düne;175000;Bavaria;9.99;3.42;2
Bavaria Cruiser 34 Style;https://www.boat24.com/en/sailingboats/bavaria/bavaria-cruiser-34-style/detail/547652/;1 x 28 HP / 21 kW;;9.99 x 3.42 m;2021;Germany » Mecklenburg-Vorpommern » Yachthafen Hohe Düne;175000;Bavaria;9.99;3.42;2
Bavaria Cruiser 34 Style;https://www.boat24.com/en/sailingboats/bavaria/bavaria-cruiser-34-style/detail/547652/;1 x 28 HP / 21 kW;;9.99 x 3.42 m;2021;Germany » Mecklenburg-Vorpommern » Yachthafen Hohe Düne;175000;Bavaria;9.99;3.42;2
Bavaria Cruiser 34 Style;https://www.boat24.com/en/sailingboats/bavaria/bavaria-cruiser-34-style/detail/547652/;1 x 28 HP / 21 kW;;9.99 x 3.42 m;2021;Germany » Mecklenburg-Vorpommern » Yachthafen Hohe Düne;175000;Bavaria;9.99;3.42;2
Bavaria Cruiser 46;https://www.yachtall.com/en/boat/bavaria-cruiser-46-s197719; Volvo Penta D2-55F, 55 hp (40 kW), diesel; Bavaria, used boat, GRP/polyester; 13.60 m x 4.35 m;2016;Greece, Lavrio;175000;Bavaria;13.6;4.35;7
23M,7 Cabins, Airconditioned;https://www.yachtall.com/en/boat/23m,7-cabins-airconditioned-s107952; MAN, 320 hp (235 kW), diesel; X-Yachts, used boat, GRP/polyester; 13.86 m x 4.32 m;1984;Turkey;175000;X-Yachts;13.86;4.32;39
Koopmans 47 Centerboard;https://www.yachtall.com/en/boat/koopmans-47-centerboard-s210662; Perkins Sabre M-90, 83 hp (61 kW), diesel; Koopmans, used boat, aluminium boat; 14.20 m x 3.94 m;2005;Netherlands, Edam;175000;Koopmans;14.2;3.94;18
ELAN 45 Impression;https://www.yachtall.com/en/boat/elan-45-impression-s186965; Yanmar 4JH57, 57 hp (42 kW), diesel; Elan, used boat, GRP/polyester; 13.85 m x 4.18 m;2017;Greece;175000;Elan;13.85;4.18;6
Irwin 65 Ketch;https://www.yachtall.com/en/boat/irwin-65-ketch-s196539; Perkins Sabre, 265 hp (195 kW), diesel; Bénéteau, used boat; 22 m x 5.28 m;1981;France, Guadeloupe, Antilles Françaises;175000;Bénéteau;22;5.28;42
Klipper Paviljoenklipper 30.00;https://www.yachtall.com/en/boat/klipper-paviljoenklipper-30.00-s194264; MAN, 208 hp (153 kW), diesel; Dufour, used boat, GRP/polyester; 30 m x 4.83 m;1902;Netherlands, Museumhaven Leer;175000;Dufour;30;4.83;121
Kerstholt 20 One Off;https://www.yachtall.com/en/boat/kerstholt-20-one-off-s169199; Perkins Sabre, 2 x 65 hp (48 kW), diesel; Kerstholt, old-timer, steel boat; 19.60 m x 5.40 m;1961;Netherlands, in verkoophaven;175000;Kerstholt;19.6;5.4;62
Gulet Caicco ECO 242;https://www.yachtall.com/en/boat/gulet-caicco-eco-242-s117048; Perkins Sabre, 240 hp (177 kW), diesel; Nauticat / Siltala Yachts, used boat; 20.50 m x 5.75 m;1989;Turkey;175000;Nauticat / Siltala Yachts;20.5;5.75;34
Jeanneau Sun Odyssey 45 DS;https://www.yachtall.com/en/boat/jeanneau-sun-odyssey-45-ds-s213428; Yanmar, 75 hp (55 kW), diesel; Custom built/Eigenbau, used boat; 13.75 m x 4.37 m;2008;France, Hyeres;175000;Custom built/Eigenbau;13.75;4.37;15
Bénéteau Océanis 45;https://www.yachtall.com/en/boat/beneteau-oceanis-45-s195966; 54 hp (40 kW), diesel; Hallberg-Rassy, used boat; 13.94 m x 4.50 m;2013;Greece, Alimos;175000;Hallberg-Rassy;13.94;4.5;10
X-Yachts IMX 40;https://www.yachtall.com/en/boat/x-yachts-imx-40-s215241; Volvo Penta MD 2040, 40 hp (29 kW), diesel; X-Yachts, used boat; 12.10 m x 3.80 m;2001;Turkey, Marmaris;175000;X-Yachts;12.1;3.8;22
Jeanneau Sun Odyssey 45 DS;https://www.yachtall.com/en/boat/jeanneau-sun-odyssey-45-ds-s213264; Yanmar, 75 hp (55 kW), diesel; Custom built/Eigenbau, used boat, wooden boat; 13.75 m x 4.37 m;2008;France, Hyeres;175000;Custom built/Eigenbau;13.75;4.37;15
Océanis 45;https://www.yachtall.com/en/boat/oceanis-45-s216071; Yanmar, 54 hp (40 kW), diesel; Bénéteau, used boat, GRP/polyester; 13.90 m x 4.50 m;2014;Greece;175000;Bénéteau;13.9;4.5;9
Beneteau Oceanis 38.1;https://www.boat24.com/en/sailingboats/beneteau-oceanis-381/detail/551786/;;;11.50 x 3.99 m;2018;Denmark;174330;Beneteau;11.5;3.99;5
Bruce Roberts Spray;https://www.yachtall.com/en/boat/bruce-roberts-spray-s184301; Ford Lehman, 80 hp (59 kW), diesel; Bruce Roberts, used boat, GRP/polyester; 15.24 m x 4.27 m;1981;USA, South Carolina, Charleston;174000;Bruce Roberts;15.24;4.27;42
Bénéteau Oceanis 45;https://www.boat24.com/en/sailingboats/beneteau/beneteau-oceanis-45/detail/534483/;1 x 57 HP / 42 kW;;13.72 x 4.50 m;2017;Saint Lucia » Rodney Bay;173500;Bénéteau;13.72;4.5;6
Bavaria 50 Cruiser;https://www.yachtall.com/en/boat/bavaria-50-cruiser-s189008; Volvo Penta D2-75, 75 hp (55 kW), diesel; Bavaria, used boat; 15.25 m x 4.63 m;2012;Greece, Athens;173000;Bavaria;15.25;4.63;11
Bavaria Vision 42;https://www.boat24.com/en/sailingboats/bavaria/bavaria-vision-42/detail/548538/;1 x 50 HP / 37 kW;;12.80 x 4.05 m;2015;Slovenia » Portoroz;172500;Bavaria;12.8;4.05;8
Bénéteau Oceanis 38.1;https://www.boat24.com/en/sailingboats/beneteau/beneteau-oceanis-381/detail/498193/;1 x 40 HP / 29 kW;;11.80 x 3.99 m;2019;Switzerland » Lake Geneva;172000;Bénéteau;11.8;3.99;4
J Boats J 120;https://www.yachtall.com/en/boat/j-boats-j-120-s203144; Yanmar 3JH2E, 50 hp (37 kW), diesel; Contest Yachts / Conyplex, used boat, GRP/polyester; 12 m x 3 m;1997;France, Beaulieu sur Mer;172000;Contest Yachts / Conyplex;12;3;26
Vintage SAIL BOAT Havskryssare, Byggd;https://www.yachtall.com/en/boat/vintage-sail-boat-havskryssare-byggd-s174582; Kubota, 36 hp (26 kW); ABO A/B Batvarv, old-timer; 14.88 m x 3 m;1939;Spain, Empuriabrava;171000;ABO A/B Batvarv;14.88;3;84
Jeanneau sun odyssey 439;https://www.boat24.com/en/sailingboats/jeanneau/jeanneau-sun-odyssey-439/detail/544021/;1 x 40 HP / 29 kW;;12.99 x 4.24 m;2011;Croatia » Split-Dalmatia » Marina Frapa;170000;Jeanneau;12.99;4.24;12
Elan Impression 45;https://www.boat24.com/en/sailingboats/elan/elan-impression-45/detail/545122/;1 x 60 HP / 44 kW;;13.85 x 4.18 m;2017;Croatia » Split;170000;Elan;13.85;4.18;6
Dufour 390 Grand Large;https://www.boat24.com/en/sailingboats/dufour/dufour-390-grand-large/detail/533247/;1 x 30 HP / 22 kW;;11.94 x 3.99 m;2019;Croatia » Punat;170000;Dufour;11.94;3.99;4
Bénéteau Océanis 523;https://www.yachtall.com/en/boat/beneteau-oceanis-523-s186568; Yanmar, 74 hp (54 kW), diesel; Bénéteau, used boat; 16.25 m x 4.88 m;2006;Ireland, Killrush;170000;Bénéteau;16.25;4.88;17
Bénéteau Océanis 38.1;https://www.yachtall.com/en/boat/beneteau-oceanis-38.1-s204194; Yanmar 3YM30AE, 29 hp (21 kW), diesel; Bénéteau, used boat; 11.50 m x 3.99 m;2017;France, Var, Méditerranée;170000;Bénéteau;11.5;3.99;6
Dufour 390 Grand Large;https://www.yachtall.com/en/boat/dufour-390-grand-large-s203372; 30 hp (22 kW), diesel; Dufour, used boat; 11.94 m x 3.99 m;2019;Croatia, Punat;170000;Dufour;11.94;3.99;4
Salona 42;https://www.yachtall.com/en/boat/salona-42-s130972; Yanmar 3JH5E, 39 hp (29 kW), diesel; Salona / AD boats, used boat, GRP/polyester; 12.80 m x 3.82 m;2013;Greece;170000;Salona / AD boats;12.8;3.82;10
Elan Impression 45;https://www.yachtall.com/en/boat/elan-impression-45-s211735; Volvo Penta, 60 hp (44 kW), diesel; Elan, used boat; 13.85 m x 4.18 m;2017;Croatia, Split;170000;Elan;13.85;4.18;6
Jeanneau Sun Odyssey 52,2;https://www.yachtall.com/en/boat/jeanneau-sun-odyssey-52,2-s167434; Yanmar, 100 hp (74 kW), diesel; Jeanneau, used boat; 15.39 m x 4.85 m;2002;France, Antibes;170000;Jeanneau;15.39;4.85;21
Sunbeam 37;https://www.yachtall.com/en/boat/sunbeam-37-s216574; Yanmar, 54 hp (40 kW), diesel; Sunbeam, used boat, GRP/polyester; 11.30 m x 3.85 m;2008;Spain, Palma de Mallorca;170000;Sunbeam;11.3;3.85;15
Moltedo Pexino VI;https://www.yachtall.com/en/boat/moltedo-pexino-vi-s210820; 2 x 165 hp (121 kW), diesel; Custom built/Eigenbau, used boat; 17 m x 4.40 m;1972;Italy, Civitavecchia;170000;Custom built/Eigenbau;17;4.4;51
Nautor's Swan 47;https://www.yachtall.com/en/boat/nautors-swan-47-s203061; Yanmar, 62 hp (46 kW), diesel; Nautor's Swan, used boat, GRP/polyester; 14.57 m x 4.19 m;1978;Italy, Salerno, Campania;170000;Nautor's Swan;14.57;4.19;45
Rimar 41.3;https://www.yachtall.com/en/boat/rimar-41.3-s211364; Lombardini, 40 hp (29 kW), diesel; Custom built/Eigenbau, used boat; 12.33 m x 3.82 m;2007;Italy, Emilia Romagna;170000;Custom built/Eigenbau;12.33;3.82;16
Hans Christian 41T;https://www.yachtall.com/en/boat/hans-christian-41t-s212302; Yanmar, 75 hp (55 kW), diesel; Hans Christian / Andersen Yachts, used boat, GRP/polyester; 12.40 m x 4.04 m;1990;Italy, Contact De Valk Antibes;169900;Hans Christian / Andersen Yachts;12.4;4.04;33
Dehler 38 Kurzkiel;https://www.boat24.com/en/sailingboats/dehler/dehler-38-kurzkiel/detail/544424/;1 x 28 HP / 21 kW;;11.30 x 3.75 m;2016;Germany » Ostsee » Barth, Ostsee;169000;Dehler;11.3;3.75;7
Hanse 430;https://www.boat24.com/en/sailingboats/hanse/hanse-430/detail/543921/;1 x 55 HP / 40 kW;;13.15 x 4.18 m;2010;Netherlands » Contact De Valk Hindeloopen;169000;Hanse;13.15;4.18;13
Dehler 34;https://www.boat24.com/en/sailingboats/dehler/dehler-34/detail/540225/;1 x 29 HP / 21 kW;;10.30 x 3.60 m;2018;Germany » Kressbronn - Gohren;169000;Dehler;10.3;3.6;5
Bénéteau Oceanis 50 F;https://www.boat24.com/en/sailingboats/beneteau/beneteau-oceanis-50-f/detail/403537/;1 x 75 HP / 55 kW;;15.42 x 4.82 m;2011;Croatia » Murter;169000;Bénéteau;15.42;4.82;12
Jeanneau Sun Odyssey 449;https://www.yachtall.com/en/boat/jeanneau-sun-odyssey-449-s203312; Yanmar, 57 hp (42 kW), diesel; KM Yachtbuilders, used boat, aluminium boat; 13.76 m x 4.24 m;2017;Italy, Lazio;169000;KM Yachtbuilders;13.76;4.24;6
Koopmans 41;https://www.yachtall.com/en/boat/koopmans-41-s208374; Perkins Sabre, 72 hp (53 kW), diesel; Koopmans, used boat, aluminium boat; 12.45 m x 3.74 m;1981;Netherlands, Contact De Valk Hindeloopen;169000;Koopmans;12.45;3.74;42
Hanse 430;https://www.yachtall.com/en/boat/hanse-430-s210976; Yanmar, 55 hp (40 kW), diesel; Hanse, used boat, GRP/polyester; 13.15 m x 4.18 m;2010;Netherlands, Contact De Valk Hindeloopen;169000;Hanse;13.15;4.18;13
Bénéteau Océanis 45;https://www.yachtall.com/en/boat/beneteau-oceanis-45-s104632; Yanmar 4JH5E, 54 hp (40 kW), diesel; Elan, used boat, GRP/polyester; 13.94 m x 4.50 m;2015;British Virgin Islands, Tortola;169000;Elan;13.94;4.5;8
Bénéteau Océanis 45;https://www.yachtall.com/en/boat/beneteau-oceanis-45-s104066; Yanmar 4JH5E, 54 hp (40 kW), diesel; J Boats, used boat, GRP/polyester; 13.94 m x 4.50 m;2015;British Virgin Islands, Tortola;169000;J Boats;13.94;4.5;8
Hans Christian 43;https://www.yachtall.com/en/boat/hans-christian-43-s179253; Yanmar, 66 hp (49 kW), diesel; CNB, used boat, GRP/polyester; 12.98 m x 3.35 m;1990;Cyprus;169000;CNB;12.98;3.35;33
Gibert Magnificent Gib'Sea 522 Master, Complete;https://www.yachtall.com/en/boat/gibert-magnificent-gib-sea-522-master-complete-s190834; Yanmar 4JH80 Bobtail, 80 hp (59 kW), diesel; Dufour, used boat, GRP/polyester; 15.90 m x 4.60 m;1988;France, Marigot;169000;Dufour;15.9;4.6;35
Hanse 455;https://www.boat24.com/en/sailingboats/hanse/hanse-455/detail/546484/;1 x 55 HP / 40 kW;;13.95 x 4.38 m;2015;Croatia » Zadar » Biograd Marina Kortina;168540;Hanse;13.95;4.38;8
Centurion 59;https://www.yachtall.com/en/boat/centurion-59-s112469; Volvo Penta, 120 hp (88 kW), diesel; Centurion, used boat, GRP/polyester; 17.83 m x 5.03 m;1991;Greece, Contact De Valk Corfu;168000;Centurion;17.83;5.03;32
Bavaria Cruiser 46;https://www.yachtall.com/en/boat/bavaria-cruiser-46-s197720; Volvo Penta D2-55, 55 hp (40 kW), diesel; Bavaria, used boat, GRP/polyester; 13.60 m x 4.35 m;2014;Greece, Lavrio;168000;Bavaria;13.6;4.35;9
Dufour 382 GL;https://www.yachtall.com/en/boat/dufour-382-gl-s202825; Volvo Penta, 40 hp (29 kW), diesel; Dufour, used boat, GRP/polyester; 11.25 m x 3.85 m;2018;Netherlands, in verkoophaven;168000;Dufour;11.25;3.85;5
Gulfstar MARK II Ketch 50 Classic FROM 1978 .;https://www.yachtall.com/en/boat/gulfstar-mark-ii-ketch-50-classic-from-1978-s144062; Yanmar, 77 hp (57 kW), diesel; Bénéteau, used boat; 15.24 m x 4.20 m;1978;Spain, Girona;168000;Bénéteau;15.24;4.2;45
Sertral 72;https://www.yachtall.com/en/boat/sertral-72-s187217; Baudouin, 300 hp (221 kW), diesel; Dufour, used boat; 21.80 m x 5.62 m;1973;France, Nice;168000;Dufour;21.8;5.62;50
Sertral 72;https://www.yachtall.com/en/boat/sertral-72-s180889; Baudouin, 300 hp (221 kW); Sertral, used boat; 21.80 m x 5.62 m;1973;Spain, Empuriabrava;168000;Sertral;21.8;5.62;50
Bloemsma Kotter 10.50;https://www.yachtall.com/en/boat/bloemsma-kotter-10.50-s177120; Sole, 42 hp (31 kW), diesel; Bloemsma Van Breemen, used boat, aluminium boat; 11.90 m x 3.60 m;1994;Netherlands, Contact De Valk Loosdrecht;167500;Bloemsma Van Breemen;11.9;3.6;29
Hanse 430;https://www.yachtall.com/en/boat/hanse-430-s203459; Yamaha 55hp, 55 hp (40 kW), diesel; Hanse, used boat; 13.30 m x 4.18 m;2010;Greece, Athens;167000;Hanse;13.3;4.18;13
Gallian 13 Ketch Ketch Gallian 13 .This boat;https://www.yachtall.com/en/boat/gallian-13-ketch-ketch-gallian-13-.this-boat-s206118; Volvo Penta D2 50 F, 2 x 49 hp (36 kW), diesel; Nautor's Swan, used boat, GRP/polyester; 13.40 m x 4 m;1977;France, Marseille;167000;Nautor's Swan;13.4;4;46
Bénéteau Océanis 35.1;https://www.yachtall.com/en/boat/beneteau-oceanis-35.1-s171128; Yanmar 3JH40 CR SD, 30 hp (22 kW), diesel; Bénéteau, used boat; 10.45 m x 3.72 m;2021;France, Corse, Ajaccio;166270;Bénéteau;10.45;3.72;2
Bavaria Cruiser 45;https://www.boat24.com/en/sailingboats/bavaria/bavaria-cruiser-45/detail/549771/;;;13.60 x 4.35 m;2011;Netherlands » Croatia(HR);165500;Bavaria;13.6;4.35;12
Bavaria Cruiser 45;https://www.yachtall.com/en/boat/bavaria-cruiser-45-s214483; Volvo Penta, 53 hp (39 kW), diesel; Bavaria, used boat, GRP/polyester; 13.60 m x 4.35 m;2011;Netherlands, Croatia (Hr);165500;Bavaria;13.6;4.35;12
Italia Yachts 9.98 Fuoriserie;https://www.boat24.com/en/sailingboats/italia-yachts/italia-yachts-998-fuoriserie/detail/551002/;1 x 20 HP / 15 kW;;10.30 x 3.54 m;2016;Hungary;165000;Italia;10.3;3.54;7
Elan 450;https://www.boat24.com/en/sailingboats/elan/elan-450/detail/542143/;;;13.60 x 4.36 m;2010;Italy » Nr. Sanremo;165000;Elan;13.6;4.36;13
Cruiser 50;https://www.yachtall.com/en/boat/cruiser-50-s194545; 75 hp (55 kW); Bavaria, used boat; 15.57 m x 4.63 m;2012;Greece, Alimos;165000;Bavaria;15.57;4.63;11
Jeanneau Sun Odyssey 52.2;https://www.yachtall.com/en/boat/jeanneau-sun-odyssey-52.2-s127857; Yanmar, 100 hp (74 kW), diesel; Jeanneau, used boat; 15.39 m x 4.85 m;2002;Turkey, Marmaris;165000;Jeanneau;15.39;4.85;21
