Title;URL;Engine;Info;Dimensions;Year Built;Location;Price;Model;Length;Beam;Age
Gulet Caicco ECO 782;https://www.yachtall.com/en/boat/gulet-caicco-eco-782-s204162; Iveco, 360 hp (265 kW), diesel; Custom built/Eigenbau, used boat; 22 m x 6 m;2006;Turkey;350000;Custom built/Eigenbau;22;6;17
21M Epoxy Hull, 4 Cabins Yacht;https://www.yachtall.com/en/boat/21m-epoxy-hull-4-cabins-yacht-s81664; Fiat, 340 hp (250 kW), diesel; Sunbeam, used boat; 12.20 m x 3.40 m;2005;Turkey;350000;Sunbeam;12.2;3.4;18
21M Epoxy Hull, 4 Cabins Yacht;https://www.yachtall.com/en/boat/21m-epoxy-hull-4-cabins-yacht-s81665; Fiat, 340 hp (250 kW), diesel; Custom built/Eigenbau, used boat, wooden boat; 8.10 m x 2.65 m;2005;Turkey;350000;Custom built/Eigenbau;8.1;2.65;18
Jongert 17M;https://www.yachtall.com/en/boat/jongert-17m-s206527; John Deere, 230 hp (169 kW), diesel; Jongert, used boat, steel boat; 16.84 m x 4.95 m;1984;Italy, Contact De Valk Loosdrecht;350000;Jongert;16.84;4.95;39
Pugh Oceanhouse 59 Pilothouse;https://www.yachtall.com/en/boat/pugh-oceanhouse-59-pilothouse-s113518; Gardner, 2 x 203.9 hp (150 kW), diesel; Pugh, used boat, steel boat; 17.04 m x 5 m;1994;Turkey, Marmaris;350000;Pugh;17.04;5;29
Kempers Cutter 60;https://www.yachtall.com/en/boat/kempers-cutter-60-s189807; Mercedes-Benz M T U, diesel; Dübbel & Jesse, used boat, aluminium boat; 17.40 m x 4.85 m;1993;France, Contact De Valk Antibes;350000;Dübbel & Jesse;17.4;4.85;30
Leonardo Yachts - Eagle 44;https://www.yachtall.com/en/boat/leonardo-yachts-eagle-44-s205790; Volvo Penta D-120, 20 hp (15 kW), diesel; Leonardo Yachts, used boat, GRP/polyester; 13.34 m x 2.74 m;2018;USA, California, Marina del Rey;350000;Leonardo Yachts;13.34;2.74;5
Shipman 50;https://www.yachtall.com/en/boat/shipman-50-s209064; Yanmar, 114 hp (84 kW), diesel; Shipman, used boat, Kevlar/Carbon; 14.98 m x 4.49 m;2005;Portugal, Contact De Valk Portugal;350000;Shipman;14.98;4.49;18
Kempers Steel Motorsailer Recent Major Maintenance;https://www.yachtall.com/en/boat/kempers-steel-motorsailer-recent-major-maintenance-s206900; Mercedes-Benz M T U O M 3 6 6 I A, 176 hp (129 kW), diesel; Nauticat / Siltala Yachts, used boat; 17 m x 4.86 m;1993;France, Marseille;350000;Nauticat / Siltala Yachts;17;4.86;30
Gulet Caicco ECO 446;https://www.yachtall.com/en/boat/gulet-caicco-eco-446-s212874; Vetus Diesel, 194 hp (143 kW), diesel; Bavaria, used boat, GRP/polyester; 17 m x 4.20 m;2003;Turkey;350000;Bavaria;17;4.2;20
Dufour 460;https://www.yachtall.com/en/boat/dufour-460-s201046; Volvo Penta D2-55, 55 hp (40 kW), diesel; Bénéteau, used boat, GRP/polyester; 14.15 m x 4.50 m;2017;Italy, Emilia Romagna;350000;Bénéteau;14.15;4.5;6
Shipman 50;https://www.yachtall.com/en/boat/shipman-50-s208191; Yanmar Model 4JH3-DTE, 114 hp (84 kW), diesel; Elan, used boat; 14.98 m x 4.49 m;2004;Portugal, Lisboa;350000;Elan;14.98;4.49;19
X562;https://www.yachtall.com/en/boat/x562-s38158; Yanmar, 100 hp (74 kW); X-Yachts, used boat; 16.90 m x 4.85 m;2001;Spain;350000;X-Yachts;16.9;4.85;22
Bénéteau Océanis 48;https://www.yachtall.com/en/boat/beneteau-oceanis-48-s211359; Yanmar, 75 hp (55 kW), diesel; Bénéteau, used boat, GRP/polyester; 14.61 m x 4.75 m;2014;Netherlands;350000;Bénéteau;14.61;4.75;9
Schooner Classic gaff;https://www.yachtall.com/en/boat/schooner-classic-gaff-s193817; Volvo Penta, 306 hp (225 kW), diesel; Schooner, used boat, wooden boat; 22.60 m x 5.85 m;1994;Greece, Contact De Valk Corfu;350000;Schooner;22.6;5.85;29
